case,forecast_method,information_available_through_delivery_timestamp,commitment_protocol,delivery_timestamp,lead_hour,forecast_price,realized_price,error
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 06:00:00+00:00,7,39.06449991456799,72.6,-33.535500085432005
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 07:00:00+00:00,8,41.699689871689166,79.23,-37.53031012831084
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 08:00:00+00:00,9,43.97240914067085,79.17,-35.19759085932915
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 09:00:00+00:00,10,45.70441976839714,78.55,-32.84558023160286
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 10:00:00+00:00,11,46.86320798531456,77.44,-30.576792014685438
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 11:00:00+00:00,12,47.39333451875839,69.66,-22.26666548124161
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 12:00:00+00:00,13,47.51066120517153,63.61,-16.09933879482847
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 13:00:00+00:00,14,47.416751519280496,59.94,-12.523248480719502
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 14:00:00+00:00,15,47.46498559410786,59.01,-11.54501440589214
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 15:00:00+00:00,16,47.42358011118976,59.57,-12.146419888810243
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 16:00:00+00:00,17,47.579262982438216,59.21,-11.630737017561785
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 17:00:00+00:00,18,47.421262807706455,56.38,-8.958737192293547
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 18:00:00+00:00,19,46.827614378305405,54.28,-7.452385621694596
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 19:00:00+00:00,20,45.95890927849128,52.78,-6.821090721508725
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 20:00:00+00:00,21,44.95345280231962,52.01,-7.056547197680381
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 21:00:00+00:00,22,43.863770021565465,50.48,-6.616229978434532
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 22:00:00+00:00,23,42.72985076409664,49.44,-6.7101492359033585
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 23:00:00+00:00,24,41.85141248448531,47.84,-5.988587515514695
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 00:00:00+00:00,1,45.98302942598225,46.58,-0.596970574017746
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 01:00:00+00:00,2,44.372403591561564,45.74,-1.3675964084384375
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 02:00:00+00:00,3,43.370625554395325,43.81,-0.43937444560467753
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 03:00:00+00:00,4,42.9077421464894,46.24,-3.3322578535106047
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 04:00:00+00:00,5,43.009675739678855,46.46,-3.450324260321146
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 05:00:00+00:00,6,44.076840432941026,51.29,-7.213159567058973
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 06:00:00+00:00,7,46.513296370776644,53.03,-6.5167036292233576
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 07:00:00+00:00,8,49.496602327409406,54.25,-4.753397672590594
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 08:00:00+00:00,9,52.17813721299249,53.69,-1.5118627870075088
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 09:00:00+00:00,10,54.309220996219295,53.63,0.6792209962192928
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 10:00:00+00:00,11,55.71391401049476,53.32,2.393914010494761
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 11:00:00+00:00,12,56.07024841283713,51.89,4.1802484128371304
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 12:00:00+00:00,13,55.578956795362345,50.8,4.7789567953623475
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 13:00:00+00:00,14,54.55464340374198,45.46,9.094643403741976
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 14:00:00+00:00,15,53.38639195607567,42.2,11.186391956075667
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 15:00:00+00:00,16,52.289712788070034,45.93,6.359712788070034
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 16:00:00+00:00,17,51.24652813249318,51.51,-0.2634718675068157
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 17:00:00+00:00,18,50.02343698489252,50.44,-0.41656301510747795
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 18:00:00+00:00,19,48.69345134700215,49.64,-0.9465486529978477
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 19:00:00+00:00,20,47.2046856117162,48.93,-1.725314388283799
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 20:00:00+00:00,21,45.78820054042247,48.34,-2.5517994595775306
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 21:00:00+00:00,22,44.50345378064178,47.54,-3.0365462193582218
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 22:00:00+00:00,23,43.05516433023876,45.03,-1.9748356697612408
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 23:00:00+00:00,24,41.684244508996855,47.24,-5.555755491003147
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 00:00:00+00:00,1,46.33429001823002,45.88,0.4542900182300187
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 01:00:00+00:00,2,44.844464298150456,44.61,0.23446429815045633
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 02:00:00+00:00,3,43.41912247313486,42.9,0.519122473134864
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 03:00:00+00:00,4,42.382695765630146,42.03,0.3526957656301448
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 04:00:00+00:00,5,41.857588409354456,42.0,-0.1424115906455441
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 05:00:00+00:00,6,42.10451212852007,44.06,-1.9554878714799315
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 06:00:00+00:00,7,43.7829827592577,46.39,-2.6070172407423016
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 07:00:00+00:00,8,45.94340528436402,48.02,-2.0765947156359843
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 08:00:00+00:00,9,47.917379987835176,49.91,-1.9926200121648208
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 09:00:00+00:00,10,49.50586030055133,50.3,-0.7941396994486638
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 10:00:00+00:00,11,50.63569133508052,50.32,0.3156913350805226
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 11:00:00+00:00,12,51.11652505127955,50.32,0.7965250512795521
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 12:00:00+00:00,13,51.01471940793063,49.95,1.0647194079306246
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 13:00:00+00:00,14,50.21895871141256,50.09,0.1289587114125581
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 14:00:00+00:00,15,49.000188632232366,50.82,-1.8198113677676346
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 15:00:00+00:00,16,47.940335250217615,51.7,-3.759664749782388
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 16:00:00+00:00,17,47.23457938103964,52.96,-5.725420618960364
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 17:00:00+00:00,18,46.46688554454994,52.33,-5.863114455450059
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 18:00:00+00:00,19,45.586149754338415,51.23,-5.643850245661582
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 19:00:00+00:00,20,44.67452489257549,50.02,-5.345475107424512
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 20:00:00+00:00,21,43.83696368080074,49.23,-5.393036319199254
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 21:00:00+00:00,22,43.123055798464954,48.29,-5.1669442015350455
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 22:00:00+00:00,23,42.45974640850796,47.22,-4.760253591492038
DK1 day-ahead block,sarx,2019-01-11 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-12 23:00:00+00:00,24,42.162462174886386,44.01,-1.847537825113612
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 00:00:00+00:00,1,42.86833077593456,44.02,-1.1516692240654436
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 01:00:00+00:00,2,42.55681401617417,37.03,5.526814016174171
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 02:00:00+00:00,3,42.561162992819916,26.54,16.021162992819917
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 03:00:00+00:00,4,42.809963162108794,23.25,19.559963162108794
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 04:00:00+00:00,5,43.282580324673596,20.01,23.272580324673594
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 05:00:00+00:00,6,44.07516693286978,40.06,4.015166932869775
