case,forecast_method,observations,mean_error,mean_absolute_error,root_mean_squared_error
DK1 day-ahead block,persistence,15120,-0.03855291005291005,8.608238095238095,12.947673381879127
DK1 day-ahead block,sarx,15120,-0.7844249816536281,7.66353073320938,11.16866484390929
DK1 day-ahead block,seasonal_mean,15120,-1.183572407119069,11.857730135302683,15.199737841499834
DK2 day-ahead block,persistence,15120,-0.03855291005291006,8.28179761904762,12.714503012496843
DK2 day-ahead block,sarx,15120,-0.5526344340426287,7.421734453232431,10.906854390214875
DK2 day-ahead block,seasonal_mean,15120,-1.00305472838545,11.509889393781027,14.974559488717537
